"model_name","id","AIC","horizon","pred","actual"
"3i",20,-471.968478089703,40,-1.6167957017891e-23,0
"3ni",20,-608.073255043267,40,0.000763352469227076,0
"4i",20,-459.155038273473,40,-3.69719338760025e-27,0
"4ni",20,-572.489281496392,40,0.0026063628292143,0
"9ni",20,-534.159404445629,40,8.3460222550276e-22,0
"2i",20,-962.953434967445,60,0.0182631415979296,1
"2ni",20,-966.375491519903,60,0.0143130955077967,1
"3i",20,-766.411752683417,60,0.0478474764523136,1
"3ni",20,-932.148972526746,60,0.0270107422594465,1
"4i",20,-667.577973986379,60,0.0423947797889748,1
"4ni",20,-982.489625880443,60,0.00632472235183286,1
"9ni",20,-921.954414419307,60,0.10494083150022,1
"2i",20,-1108.71457855589,80,0.0593675238288208,0
"2ni",20,-1112.65524329506,80,0.0585958097390049,0
"3i",20,-1110.66067733869,80,0.061948612673784,0
"3ni",20,-1128.66393135225,80,0.0768297623777892,0
"4i",20,-982.554355257366,80,-0.0685053803658252,0
"4ni",20,-1133.69485258842,80,0.119052416498142,0
"9ni",20,-1054.13353300725,80,0.0634137917232118,0
"2i",21,-854.939447607297,40,-4.27229717042426e-32,0
"2ni",21,-726.984377556699,40,-1.80839166074209e-41,0
"3i",21,-495.118210928433,40,5.9825406542543e-37,0
"3ni",21,-543.38511669233,40,5.19343505327297e-20,0
"4i",21,-431.86936001729,40,5.69496417824769e-41,0
"4ni",21,-428.320634440476,40,2.52774131406352e-22,0
"9ni",21,-844.675835566089,40,-3.00130403708815e-100,0
"2i",21,-964.655792058226,60,-5.20968746758535e-19,0
"2ni",21,-906.996857587323,60,-8.7369564139403e-15,0
"3i",21,-762.68775950045,60,-2.31693592820202e-22,0
"3ni",21,-827.730435820296,60,2.04153198209805e-12,0
"4i",21,-703.092820049219,60,-3.75720724820871e-30,0
"4ni",21,-825.345635196644,60,-1.87481686334209e-11,0
"9ni",21,-1061.94223101868,60,-1.30907793688544e-84,0
"2i",21,-1040.78345421215,80,3.21077241129871e-12,0
"2ni",21,-1066.67506050719,80,-3.58241355946103e-11,0
"3i",21,-867.421127799477,80,1.58388130971021e-19,0
"3ni",21,-920.299862035964,80,1.24469703735174e-12,0
"4i",21,-811.928733779467,80,2.73074602457121e-25,0
"4ni",21,-866.224085026451,80,-2.70611547750214e-16,0
"9ni",21,-1387.54509739353,80,1.10135617144223e-93,0
"2i",22,-391.055561134335,40,0.00179019935766364,0
"2ni",22,-388.289210656752,40,1.66785440710216e-20,0
"3i",22,-378.082612561392,40,8.57853515226512e-21,0
"3ni",22,-372.908738962406,40,0.000116012719174737,0
"4i",22,-377.813348150682,40,9.27684905323606e-24,0
"4ni",22,-373.651385915297,40,-3.61453395983969e-05,0
"9ni",22,-298.262783723244,40,-9.46256815857737e-62,0
"2i",22,-460.255858835211,60,4.90976055882784e-20,0
"2ni",22,-701.641846701334,60,1.21227437309684e-16,0
"3i",22,-354.530054990565,60,-5.75860636809891e-27,0
"3ni",22,-704.909718404299,60,3.28678413187792e-05,0
"4i",22,-258.977042559848,60,9.8490134165732e-32,0
"4ni",22,-700.722903099833,60,-0.000168829621018961,0
"9ni",22,-569.932516630896,60,7.27930162690521e-33,0
"2i",22,-918.73536122588,80,1.50160191270807e-18,0
"2ni",22,-913.468308156268,80,0.000886825882404756,0
"3i",22,-876.740320718464,80,-3.28392327410517e-19,0
"3ni",22,-929.449028521802,80,-3.66288495836069e-06,0
"4i",22,-924.937193181973,80,-3.31722731899505e-23,0
"4ni",22,-928.455619042617,80,-0.0013802243302357,0
"9ni",22,-416.26080555698,80,-8.93079650857383e-30,0
"2i",23,-385.360122912663,40,2.14400064457553e-30,0
"2ni",23,-385.503003290056,40,-2.10275570075545e-27,0
"3i",23,-385.860876873004,40,2.27949330167256e-41,0
"3ni",23,-398.171847008893,40,-1.5463328716429e-26,0
"4i",23,-376.20521088612,40,5.82666458660567e-50,0
"4ni",23,-392.664078278782,40,1.68278301385092e-20,0
"9ni",23,-345.99824464401,40,3.76767735668811e-67,0
"2i",23,-708.006239181677,60,0.00228744180422157,0
"2ni",23,-713.176945940257,60,-0.00275836584666399,0
"3i",23,-708.213513111198,60,2.07003695291059e-18,0
"3ni",23,-714.888944889385,60,-0.000158130403918627,0
"4i",23,-695.092502498436,60,9.00695508879988e-21,0
"4ni",23,-720.603354416667,60,-0.000977269947308826,0
